Year,School,Conf,Class,Pos,G,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Sref_Cfb_ID,Stats_Incl_Bowl_Gm
1996,Alabama,SEC,,RB,11,77,589,7.6,6,7,53,7.6,0,84,642,7.6,6,shaun-alexander-1,0
1997,Alabama,SEC,,RB,9,90,415,4.6,3,4,37,9.3,0,94,452,4.8,3,shaun-alexander-1,0
1998,Alabama,SEC,,RB,11,258,1178,4.6,13,26,385,14.8,4,284,1563,5.5,17,shaun-alexander-1,0
1999,Alabama,SEC,,RB,11,302,1383,4.6,19,25,323,12.9,4,327,1706,5.2,23,shaun-alexander-1,0
1996,Arizona,Pac-10,,WR,11,,,,,,,,,0,0,,0,trung-canidate-1,0
1997,Arizona,Pac-10,,RB,8,138,804,5.8,4,3,24,8.0,0,141,828,5.9,4,trung-canidate-1,0
1998,Arizona,Pac-10,,RB,11,167,1220,7.3,10,9,191,21.2,0,176,1411,8.0,10,trung-canidate-1,0
1999,Arizona,Pac-10,,RB,12,253,1602,6.3,11,30,253,8.4,1,283,1855,6.6,12,trung-canidate-1,0
1997,Marshall,MAC,,RB,13,176,1060,6.0,11,17,108,6.4,1,193,1168,6.1,12,doug-chapman-1,1
1998,Marshall,MAC,,RB,13,278,1265,4.6,17,26,279,10.7,3,304,1544,5.1,20,doug-chapman-1,1
1999,Marshall,MAC,,RB,12,164,686,4.2,12,24,321,13.4,1,188,1007,5.4,13,doug-chapman-1,0
1996,Wisconsin,Big Ten,,RB,13,325,2109,6.5,21,14,133,9.5,0,339,2242,6.6,21,ron-dayne-1,1
1997,Wisconsin,Big Ten,,RB,11,263,1457,5.5,15,10,117,11.7,0,273,1574,5.8,15,ron-dayne-1,1
1998,Wisconsin,Big Ten,,RB,11,295,1525,5.2,15,6,45,7.5,0,301,1570,5.2,15,ron-dayne-1,1
1999,Wisconsin,Big Ten,,RB,12,337,2034,6.0,20,1,9,9.0,0,338,2043,6.0,20,ron-dayne-1,0
1998,Oregon,Pac-10,,RB,5,112,824,7.4,9,3,44,14.7,2,115,868,7.5,11,reuben-droughns-1,1
1999,Oregon,Pac-10,,RB,12,277,1234,4.5,9,17,163,9.6,1,294,1397,4.8,10,reuben-droughns-1,1
1996,South Carolina,SEC,,RB,11,43,281,6.5,5,,,,,43,281,6.5,5,troy-hambrick-1,0
