Rk,Player,From,To,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV,Pfr_ID
1,Russell Wilson,2012,2015,3-75,SEA,NFL,64,64,4,3,0,70,WilsRu00
2,J.J. Watt,2011,2014,1-11,HTX,NFL,64,64,4,3,3,67,WattJ.00
3,Cam Newton,2011,2014,1-1,CAR,NFL,62,62,4,2,0,63,NewtCa00
4,Patrick Willis,2007,2010,1-11,SFO,NFL,63,63,4,4,3,63,WillPa98
5,LaDainian Tomlinson*,2001,2004,1-5,SDG,NFL,63,63,4,2,1,62,TomlLa00
6,Aaron Donald,2014,2017,1-13,RAM,NFL,62,58,4,4,3,61,DonaAa00
7,Richard Sherman,2011,2014,5-154,SEA,NFL,64,58,4,2,3,58,SherRi00
8,Luke Kuechly,2012,2015,1-9,CAR,NFL,61,61,4,3,3,57,KuecLu00
9,Patrick Peterson,2011,2014,1-5,CRD,NFL,64,64,4,4,2,57,PetePa00
10,Matt Ryan,2008,2011,1-3,ATL,NFL,62,62,4,1,0,55,RyanMa00
11,Carson Palmer,2004,2007,1-1,CIN,NFL,61,61,4,2,0,54,PalmCa00
12,Brian Urlacher*,2000,2003,1-9,CHI,NFL,64,62,4,4,2,54,UrlaBr00
13,Jeff Garcia,2000,2002,,SFO,NFL,48,48,3,3,0,53,GarcJe00
14,Darrelle Revis,2007,2010,1-14,NYJ,NFL,61,61,4,3,2,53,ReviDa99
15,Ray Rice,2008,2011,2-55,RAV,NFL,61,49,4,2,0,53,RiceRa00
16,NaVorro Bowman,2010,2013,3-91,SFO,NFL,64,49,4,2,3,52,BowmNa99
17,Chris Johnson,2008,2011,1-24,OTI,NFL,63,62,4,3,1,52,JohnCh04
18,Carl Nicks,2008,2011,5-164,NOR,NFL,64,61,4,2,1,52,NickCa20
19,Lance Briggs,2003,2006,3-68,CHI,NFL,64,61,4,2,1,51,BrigLa99
20,Aaron Brooks,2000,2003,4-131,NOR,NFL,56,53,4,0,0,51,BrooAa00
21,Clay Matthews,2009,2012,1-26,GNB,NFL,58,55,4,4,1,51,MattCl99
22,Clinton Portis,2002,2005,2-51,TOT,NFL,60,56,4,1,0,51,PortCl00
23,C.J. Mosley,2014,2017,1-17,RAV,NFL,62,62,4,3,0,50,MoslC.00
24,Adrian Peterson,2007,2010,1-7,MIN,NFL,61,54,4,4,2,50,PeteAd01
25,Jon Beason,2007,2010,1-25,CAR,NFL,64,64,4,3,1,49,BeasJo99
26,Maurice Jones-Drew,2006,2009,2-60,JAX,NFL,63,20,4,1,0,49,DrewMa00
27,Bobby Wagner,2012,2015,2-47,SEA,NFL,56,55,4,2,1,49,WagnBo00
28,Daunte Culpepper,2000,2002,1-11,MIN,NFL,43,43,3,1,0,48,CulpDa00
29,Andy Dalton,2011,2014,2-35,CIN,NFL,64,64,4,2,0,48,DaltAn00
30,Joe Flacco,2008,2011,1-18,RAV,NFL,64,64,4,0,0,48,FlacJo00
31,Jamal Lewis,2000,2004,1-5,RAV,NFL,60,56,4,1,1,48,LewiJa00
32,Andrew Luck,2012,2015,1-1,CLT,NFL,55,55,4,3,0,48,LuckAn00
33,Khalil Mack,2014,2017,1-5,RAI,NFL,64,64,4,3,2,48,MackKh00
34,Zack Martin,2014,2017,1-16,DAL,NFL,64,64,4,4,2,48,MartZa00
35,Ndamukong Suh,2010,2013,1-2,DET,NFL,62,62,4,3,2,48,SuhxNd99
36,DeMarcus Ware,2005,2008,1-11,DAL,NFL,64,64,4,3,2,48,WareDe99
37,Ben Roethlisberger,2004,2007,1-11,PIT,NFL,56,55,4,1,0,47,RoetBe00
38,Joseph Addai,2006,2009,1-30,CLT,NFL,58,42,4,1,0,46,AddaJo00
39,Jahri Evans,2006,2009,4-108,NOR,NFL,64,64,4,1,1,46,EvanJa21
40,Arian Foster,2009,2012,,HTX,NFL,51,43,4,3,1,46,FostAr00
41,Logan Mankins,2005,2008,1-32,NWE,NFL,64,64,4,1,0,46,MankLo20
42,Von Miller,2011,2014,1-2,DEN,NFL,56,56,4,3,1,46,MillVo00
43,Richard Seymour,2001,2004,1-6,NWE,NFL,59,55,4,3,2,46,SeymRi00
44,Earl Thomas,2010,2013,1-14,SEA,NFL,64,64,4,3,2,46,ThomEa99
45,Le'Veon Bell,2013,2016,2-48,PIT,NFL,47,47,4,2,1,45,BellLe00
46,A.J. Green,2011,2014,1-4,CIN,NFL,60,60,4,4,0,45,GreeA.00
47,Jake Long,2008,2011,1-1,MIA,NFL,62,62,4,4,1,45,LongJa20
48,DeMarco Murray,2011,2014,3-71,DAL,NFL,53,47,4,2,1,45,MurrDe00
49,Ryan Tannehill,2012,2015,1-8,MIA,NFL,64,64,4,0,0,45,TannRy00
50,Cameron Wake,2009,2012,,MIA,NFL,62,47,4,2,1,45,WakeCa00
51,Antonio Gates,2003,2006,,SDG,NFL,61,57,4,3,3,44,GateAn00
52,Torry Holt,2000,2002,1-6,RAM,NFL,48,40,3,2,0,44,HoltTo00
53,Tyron Smith,2011,2014,1-9,DAL,NFL,63,63,4,2,1,44,SmitTy00
54,Lofa Tatupu,2005,2008,2-45,SEA,NFL,63,63,4,3,1,44,TatuLo99
55,David Bakhtiari,2013,2016,4-109,GNB,NFL,62,62,4,1,0,43,BakhDa00
56,Matt Forte,2008,2011,2-44,CHI,NFL,60,60,4,1,0,43,FortMa00
57,David Harris,2007,2010,2-47,NYJ,NFL,59,52,4,0,0,43,HarrDa99
58,Tommie Harris,2004,2007,1-14,CHI,NFL,60,56,4,3,0,43,HarrTo99
59,Rashean Mathis,2003,2006,2-39,JAX,NFL,64,64,4,1,1,43,MathRa99
60,Deuce McAllister,2001,2004,1-23,NOR,NFL,61,49,4,2,0,43,McAlDe00
61,Haloti Ngata,2006,2009,1-12,RAV,NFL,62,61,4,1,0,43,NgatHa20
62,Julius Peppers,2002,2005,1-2,CAR,NFL,60,60,4,2,1,43,PeppJu99
63,Ricky Williams,2000,2002,1-5,TOT,NFL,42,42,3,1,1,43,WillRi00
64,LaVar Arrington,2000,2003,1-2,WAS,NFL,62,57,4,3,0,42,ArriLa00
65,Blake Bortles,2014,2017,1-3,JAX,NFL,62,61,4,0,0,42,BortBl00
66,Jammal Brown,2005,2008,1-13,NOR,NFL,58,58,4,2,1,42,BrowJa55
67,Dwight Freeney,2002,2005,1-11,CLT,NFL,63,50,4,3,2,42,FreeDw00
68,DeSean Jackson,2008,2011,2-49,PHI,NFL,60,59,4,2,0,42,JackDe00
69,Larry Johnson,2003,2006,1-27,KAN,NFL,48,28,4,2,1,42,JohnLa00
70,Julio Jones,2011,2014,1-6,ATL,NFL,49,48,4,2,0,42,JoneJu02
71,Julian Peterson,2000,2003,1-16,SFO,NFL,59,53,4,2,1,42,PeteJu00
72,Muhammad Wilkerson,2011,2014,1-30,NYJ,NFL,61,60,4,0,0,42,WilkMu00
73,Kevin Williams,2003,2006,1-9,MIN,NFL,62,62,4,2,2,42,WillKe98
74,Ryan Clady,2008,2011,1-12,DEN,NFL,64,64,4,2,1,41,CladRy20
75,Travis Frederick,2013,2016,1-31,DAL,NFL,64,64,4,3,1,41,FredTr00
76,Percy Harvin,2009,2012,1-22,MIN,NFL,54,43,4,1,0,41,HarvPe00
77,Justin Houston,2011,2014,3-70,KAN,NFL,59,53,4,3,1,41,HousJu00
